District,Neighborhood,Latitude,Longitude
Podgórze,Zabłocie,50.0510909,19.9735024
Prądnik Biały,Tonie,50.1128342,19.8978932
Bieżanów-Prokocim,Bieżanów,50.0146273,20.0284026
Stare Miasto,Przedmieście Warszawskie,50.0776887,19.9498843
Bieżanów-Prokocim,Kozłówka,50.018646,19.9825244
Mistrzejowice,Mistrzejowice,50.0966423,20.0137673
Stare Miasto,Wesoła Zachód,50.0606,19.938006
Swoszowice,Kliny,49.999983,19.9121738
Podgórze,Stare Podgórze,50.0444203,19.9493098
Prądnik Czerwony,Rakowice,50.0760027,19.9751981
Bieżanów-Prokocim,Złocień,50.0217136,20.0511722
Prądnik Biały,Prądnik Biały,50.0946233,19.9287914
Stare Miasto,Stradom,50.0529777,19.9406496
Wzgórza Krzesławickie,Wzgórza Krzesławickie,50.0983672,20.0528016
Prądnik Biały,Krowodrza Górka,50.0887692,19.9299753
Prądnik Biały,Azory,50.0852346,19.907222
Podgórze,Płaszów,50.0399798,19.9926237
Dębniki,Skotniki,50.0167394,19.8743705
Podgórze Duchackie,Piaski Wielkie,50.0076094,19.9755794
Stare Miasto,Kleparz,50.0700397,19.9419902
Bronowice,Bronowice,50.0784239,19.8892234
Prądnik Biały,Bronowice Wielkie,50.0944444,19.8822222
Dębniki,Ruczaj,50.0249674,19.9061688
Podgórze Duchackie,Wola Duchacka,50.0207177,19.9603427
Krowodrza,Łobzów,50.07527,19.9077779
Nowa Huta,Mogiła,50.0627229,20.0614901
Prądnik Biały,Górka Narodowa,50.100328,19.9581156
Czyżyny,Czyżyny,50.0725247,20.0109302
Swoszowice,Swoszowice,49.9924061,19.9431265
Swoszowice,Opatkowice,49.987219,19.913575
Bieńczyce,Bieńczyce,50.0866667,20.0319444
Grzegórzki,Wesoła Wschód,50.063612,19.949793
Stare Miasto,Stare Miasto,50.0614093,19.9356794
Grzegórzki,Dąbie,50.0594368,19.9791419
Grzegórzki,Grzegórzki,50.0592879,19.9642181
Prądnik Czerwony,Prądnik Czerwony,50.0898602,19.961965
Zwierzyniec,Zwierzyniec,50.0551551,19.9056814
Czyżyny,Łęg,50.0597222,20.0238889
Krowodrza,Małe Błonia,50.0688325,19.8948344
Prądnik Czerwony,Olsza,50.0821753,19.9664564
Bieżanów-Prokocim,Prokocim,50.0226748,19.9921741
Krowodrza,Krowodrza,50.0788515,19.928968
Łagiewniki-Borek Fałęcki,Łagiewniki,50.0225609,19.9393686
Podgórze,Rybitwy,50.0428911,20.0354208
Nowa Huta,Nowa Huta,50.0727278,20.0375118
Stare Miasto,Kazimierz,50.051855,19.9449466
Krowodrza,Nowa Wieś,50.0711319,19.9217218
Dębniki,Ludwinów,50.0445214,19.9304102
Stare Miasto,Nowy Świat,50.0576595,19.932423
Krowodrza,Czarna Wieś,50.065842,19.9146942
Bronowice,Mydlniki,50.0836548,19.8461843
Grzegórzki,Osiedle Oficerskie,50.0702734,19.9648082
Łagiewniki-Borek Fałęcki,Cegielniana,50.025892,19.9311205
Podgórze Duchackie,Kurdwanów,50.0082445,19.9550913
Dębniki,Pychowice,50.0349171,19.8931529
Stare Miasto,Piasek,50.0675,19.9304483
Zwierzyniec,Chełm,50.067532,19.8490193
Dębniki,Dębniki,50.0201677,19.8769344
Dębniki,Kobierzyn,50.0085013,19.8919269
Prądnik Biały,Żabiniec,50.0859311,19.9417425
Zwierzyniec,Wola Justowska,50.0667259,19.8687951
Łagiewniki-Borek Fałęcki,Borek Fałęcki,50.0143005,19.9265683
Bronowice,Bronowice Małe,50.0880596,19.8775429
Wzgórza Krzesławickie,Zesławice,50.1048023,20.0418282
Dębniki,Zakrzówek,50.0414061,19.9183343
Podgórze,Przewóz,50.0417419,20.0621804
Swoszowice,Wróblowice,49.9812693,19.9468264
Nowa Huta,Branice,50.0687049,20.1396996
Nowa Huta,Wolica,50.0630465,20.1949934
Bieżanów-Prokocim,Rżąka,50.0070102,20.0092452
Prądnik Biały,Witkowice,50.1035606,19.9458555
Podgórze,Kabel,50.0305156,19.9737453
Dębniki,Bodzów,50.0408066,19.8711104
Wzgórza Krzesławickie,Wadów,50.098424,20.1238409
Nowa Huta,Przylasek Rusiecki,50.054058,20.1609864
Dębniki,Kostrze,50.0328588,19.8554776
Dębniki,Sidzina,49.9882704,19.8722185
Zwierzyniec,Bielany,50.0401439,19.8214103
Wzgórza Krzesławickie,Lubocza,50.0956338,20.0871389
Zwierzyniec,Przegorzały,50.0509503,19.8740774
Dębniki,Tyniec,50.0157359,19.8090243
Swoszowice,Kosocice,49.995376,19.9936032
Zwierzyniec,Błonia,50.05985065,19.91068242646961
Swoszowice,Jugowice,50.0037241,19.9264436
Zwierzyniec,Las Wolski,50.05402285,19.84373118133861
Wzgórza Krzesławickie,Kantorowice,50.1106381,20.0560187
Dębniki,Olszyny,49.9806745,19.8736667
Nowa Huta,Ruszcza,50.0877097,20.1463045
Wzgórza Krzesławickie,Grębałów,50.0976513,20.073753
Łagiewniki-Borek Fałęcki,Białe Morza,50.0099455,19.9396705
Zwierzyniec,Olszanica,50.0726062,19.8342455
Zwierzyniec,Zakamycze,50.05713,19.8294206
Nowa Huta,Kombinat,50.0716293,20.0810336
