Links,Title,Address,Price,Floor,Living area,Rooms
https://www.otodom.pl/pl/oferta/3-pokoje-oddz-toaleta-2balkony-garaz-zablocie-ID4xZde,3 pokoje oddz. toaleta 2balkony garaż_Zabłocie,"Zabłocie, Podgórze, Kraków, małopolskie",1162026.0,1 piętro,71.29,3 pokoje
https://www.otodom.pl/pl/oferta/piekne-2-poziomowe-blisko-galerii-bronowice-taras-2-miejsca-postoj-ID4xZ98,"Piękne 2-poziomowe blisko Galerii Bronowice, taras, 2 miejsca postoj.","ul. Gaik, Tonie, Prądnik Biały, Kraków, małopolskie",1188811.0,1 piętro,102.0,4 pokoje
https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-z-widokiem-na-park-brak-prowizji-ID4xZ97,2-pok. mieszkanie z widokiem na park-brak prowizji,"ul. Telimeny, Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",539959.0,2 piętro,35.2,2 pokoje
https://www.otodom.pl/pl/oferta/galeria-krakowska-garaz-106m2-3pok-kuchnia-ID4xZ8F,Galeria Krakowska|Garaż|106m2|3pok+kuchnia,"Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",1710000.0,1 piętro,106.85,4 pokoje
https://www.otodom.pl/pl/oferta/piekne-3-pokojowe-sloneczne-gotowe-do-zamieszkania-ID4xZ8y,Piękne 3 pokojowe słoneczne gotowe do zamieszkania,"ul. Wielicka, Kozłówka, Bieżanów-Prokocim, Kraków, małopolskie",669000.0,3 piętro,50.0,3 pokoje
https://www.otodom.pl/pl/oferta/3-pokojowe-funkcjonalne-sloneczne-z-balkonem-ID4xZ8t,"3 pokojowe, funkcjonalne, słoneczne z balkonem","os. Bohaterów Września, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",580000.0,4 piętro,53.0,3 pokoje
https://www.otodom.pl/pl/oferta/luksusowy-apartament-z-silownia-i-sauna-rynek-ID4xZ8q,Luksusowy apartament z siłownią i sauną | Rynek,"ul. Librowszczyzna, Wesoła Zachód, Stare Miasto, Kraków, małopolskie",1759000.0,1 piętro,47.0,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokojowe-dwustronne-z-balkonem-piekne-sprzedamy-ID4xZ8o,"2 pokojowe dwustronne z balkonem, Piękne sprzedamy","os. Piastów, Mistrzejowice, Mistrzejowice, Kraków, małopolskie",699000.0,2 piętro,48.0,2 pokoje
https://www.otodom.pl/pl/oferta/3-pok-ok-78m2-z-ogrodkiem-debniki-kliny-ID4xZ8f,3 pok ok 78m2 z ogródkiem Dębniki/Kliny,"ul. Komuny Paryskiej, Kliny, Swoszowice, Kraków, małopolskie",949000.0,parter,78.0,3 pokoje
https://www.otodom.pl/pl/oferta/taras-5m2-promocja-rondo-matecznego-ID4xZ7Y,"Taras 5m2, Promocja, Rondo Matecznego","Stare Podgórze, Podgórze, Kraków, małopolskie",1333014.0,3 piętro,81.78,3 pokoje
https://www.otodom.pl/pl/oferta/biezanow-ostatnie-mieszkanie-taras-60-m2-na-dachu-ID4xZ7z,Bieżanów / ostatnie mieszkanie / taras 60 m2 na dachu,"Bieżanów, Bieżanów-Prokocim, Kraków, małopolskie",735000.0,1 piętro,62.0,3 pokoje
https://www.otodom.pl/pl/oferta/osobna-kuchnia-promocja-2-pokoje-ID4xZ5n,"Osobna kuchnia, Promocja, 2-pokoje","Przedmieście Warszawskie, Stare Miasto, Kraków, małopolskie",774846.0,4 piętro,47.83,2 pokoje
https://www.otodom.pl/pl/oferta/krakow-olsza-ul-ulanow-ID4xZ5d,Kraków- Olsza- ul. Ułanów,"ul. Ułanów, Rakowice, Prądnik Czerwony, Kraków, małopolskie",838000.0,1 piętro,54.0,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokoje-krakow-zlocien-ID4xZ51,2 pokoje Kraków Złocień,"ul. Złocieniowa, Złocień, Bieżanów-Prokocim, Kraków, małopolskie",481999.0,2 piętro,36.07,2 pokoje
https://www.otodom.pl/pl/oferta/2-pokoje-krakow-pradnik-duzy-balkon-ID4xZ4Z,2 pokoje Kraków Prądnik duży balkon!,"ul. Zygmunta Glogera, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",549147.0,2 piętro,33.69,2 pokoje
https://www.otodom.pl/pl/oferta/3-pokoje-krakow-pradnik-narozny-ogrod-138-mkw-ID4xZ4T,3 pokoje Kraków Prądnik narożny ogród 138 mkw!!,"ul. Zygmunta Glogera, Prądnik Biały, Prądnik Biały, Kraków, małopolskie",771411.0,parter,54.71,3 pokoje
https://www.otodom.pl/pl/oferta/kazimierz-ul-starowislna-2-pokoje-52-m-ogro-ID4xZ3r,"Kazimierz, ul. Starowiślna – 2 pokoje, 52 m², ogró","ul. Starowiślna, Stradom, Stare Miasto, Kraków, małopolskie",1500000.0,parter,52.0,2 pokoje
https://www.otodom.pl/pl/oferta/3-pokoje-w-spokojnej-okolicy-ID4xZ2P,3 Pokoje W Spokojnej Okolicy!,"os. Na Stoku, Wzgórza Krzesławickie, Wzgórza Krzesławickie, Kraków, małopolskie",595000.0,3 piętro,41.2,3 pokoje
https://www.otodom.pl/pl/oferta/mieszkania-na-sprzedaz-krowodrza-stare-miasto-ID4xZ2y,"Mieszkania na sprzedaż/ Krowodrza, Stare Miasto","ul. Bratysławska, Krowodrza Górka, Prądnik Biały, Kraków, małopolskie",910000.0,parter,61.03,3 pokoje
